Character Position,1,2,3,9,14,20,26,27,28,29,30,31,32,33,35,36,38,40,41,42,43,44,46,47,48,49,50,51,52,53,54,55,56,58,63,64,66,68,70,72,74,75,77,78,79,83,84,85,87,93,102,103,104,105,106,107
Character Position,1,2,3-8,9-13,14-19,20-25,26,27,28,29,30,31,32,33-34,35,36-37,38-39,40,41,42,43,44-45,46,47,48,49,50,51,52,53,54,55,56-57,58-62,63,64-65,66-67,68-69,70-71,72-73,74,75-76,77,78,79-82,83,84,85-86,87-92,93-101,102,103,104,105,106,107
Length,1,1,6,5,6,6,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,5,1,2,2,2,2,2,1,2,1,1,4,1,1,2,6,9,1,1,1,1,1,1
Item Number,,,D,E,F,G,H,I,J (1),J (2),J (3),L,58,59,60,61,61b,62,62b,62c,63a,63b,64a,64b,65a,65b,66,67,68,69a,69b,70,71,72,,,,,,,,,,,,,,,,,61a,63a/b,64a/b,65a/b,66,72
Item Name,Record Type,Borough,Condition of External Walls,Condition of Windows,Condition of Stairways (Exterior & Interior),Condition of Floors,Condition of Building (Observation),Any Buildings with Broken or Boarded-up Windows (Observation),Wheelchair Accessibility - Street Entry and Inner Lobby Entry,Wheelchair Accessibility - Elevator,Wheelchair Accessibility - Residential Unit Entrance,Vacant Unit Respondent,First Occupancy,Number of Units in Building,Owner in Building,Stories in Building,Floor of Unit,Passenger Elevator in Building,Sidewalk to Elevator without Using Steps,Sidewalk to Unit without Using Steps,Number of Rooms,Number of Bedrooms,Complete Plumbing Facilities,Exclusive Use of Plumbing Facilities,Complete Kitchen Facilities,Exclusive Use of Kitchen Facilities,Type of Heating Fuel,Condo/Coop Status,Duration of Vacancy,Status Prior to Vacancy,Condo/Coop Status Before Vacancy,Status of Vacant Unit,Reason Unit Not Available for Rent or for Sale,Monthly Asking Rent,DHCR Status Input Flag,Program Status Input (This variable is used in determining rent regulation status. It does not give complete data for all programs),Blank,New Control Status Recode (CSR) (Stabilized is the higher priority than HUD Regulated in this revision to the CSR. Ex: A unit classified as both HUD and Stabilized by HPD (City of NY) would now get the final classification as Stabilized in this revision. (Since the 2005 NYCHVS),Structure Class Recode,Type of Schedule,Blank,Year Built Recode,Presence of Plumbing Facilities Recode,Presence of Kitchen Facilities Recode,Monthly Asking Rent Per Room Recode,Blank,Condition of Building,Sub-borough Area,Sequence Number,Housing Unit Weight (5 implied decimal places),Stories in Building,Number of Rooms/Bedrooms,Complete Plumbing Facilities,Kitchen Facilities,Type of Heating Fuel,Monthly Asking Rent
Source Code,,Label,001 002 003 004 005 006,007 008 009 010 011,012 013 014 015 016 035,017 018 019 020 021 022,023,024,036,037,038,030,518,519,520,521,554,522,553,555,523,524,525,526,527,528,529,530,531,532,533,534,535,536,,,,,,SC26,,,,,,,,,,,521,523,525,527,529,536
Variable Name,,,UF1_1 UF1_2 UF1_3 UF1_4 UF1_5 UF1_6,UF1_7 UF1_8 UF1_9 UF1_10 UF1_11,UF1_12 UF1_13 UF1_14 UF1_15 UF1_16 UF1_35,UF1_17 UF1_18 UF1_19 UF1_20 UF1_21 UF1_22,,,,,,,,UF49,,UF33,UF51,,,,,,,,,,,,,,,,,UF31,UF19,PSI_11 UF20,,New_CSR,NUSC REC15,,,YRBLT UF23,R E C62,REC64,REC34 UF32,,REC21,CD,SEQNO,FW,HFLAG6,HFLAG3,HFLAG15,HFLAG17,HFLAG8,HFLAG5
Code and Description,3=VACANT,1=Bronx 2=Brooklyn 3=Manhattan 4=Queens 5=Staten Island,"Missing bricks, siding, or other outside wall material Sloping or bulging outside walls Major cracks in outside walls Loose or hanging cornice, roofing, or other material None of these problems with walls Unable to observe walls 1=Response selected 8=No condition reported 9=Response not selected",Broken or missing windows Rotten/loose window frames/sashes Boarded up windows None of these problems with windows Unable to observe windows 1=Response selected 8=No condition reported 9=Response not selected,"Loose, broken, or missing stair railings Loose, broken, or missing steps None of these problems with stairways No interior steps or stairways No exterior steps or stairways Unable to observe stairways 1=Response selected 8=Condition not reported 9=Response not selected",Sagging or sloping floors Slanted or shifted doorsills or door frames Deep wear in floors causing depressions Holes or missing flooring None of these problems with floors Unable to observe floors 1=Response selected 8=No condition reported 9=Response not selected,1=Dilapidated 2=Sound 3=Deteriorating 8=Not reported,1=Yes 2=No 8=Not reported,1=Accessible 2=Inaccessible 3=Unable to observe building entrance 8=Not reported,1=Accessible 2=Inaccessible 3=Unable to observe elevator 8=Not reported,1=Accessible 2=Inaccessible 3=Unable to observe residential unit entrance 8=Not reported,1=Superintendent 2=Rental office/agent 3=Real estate agent/broker 4=Owner 5=Other 8=Not reported,1=First Occupancy 2=Previously occupied 3=Don't know 8=Not reported,01=1 unit without business 02=1 unit with business 03=2 units without business 04=2 units with business 05=3 units 06=4 units 07=5 units 08=6 to 9 units 09=10 to 12 units 10=13 to 19 units 11=20 to 49 units 12=50 to 99 units 13=100 units or more,1=Yes 2=No 3=Do not know 8=Not reported,01=1 to 2 stories 02=3 stories 03=4 stories 04=5 stories 05=6 to 10 stories 06=11 to 20 stories 07=21 stories or more,01=Basement 02=1st 03=2nd 04=3rd 05=4th 06=5th 07=6th to 10th 08=11th to 20th 09=21st to 40th 10=41st or higher 98=Not reported,1=Yes 2=No,1=Yes 2=No 3=Don't know 8=Not reported 9=Not applicable (no elevator in building),1=Yes 2=No 3=Don't know 8=Not reported,1=1 room 8=8 rooms or more,01=No bedroom 09=8 bedrooms or more,"0=Yes, complete plumbing facilities No complete facilities in unit 1=No, has some but not all facilities in this apartment (house) 2=No plumbing facilities in this apartment (house)",Complete facilities in unit 3=For the exclusive use of this household 4=Also for use by another household 9=Not applicable (no complete plumbing facilities--code 1 or 2 in item 64a),"0=Yes, has complete kitchen facilities No complete kitchen facilities 1=No, has some but not all facilities in this apartment (house) 2=No kitchen facilities in this apartment (house) but facilities in this building 3=No kitchen facilities in this building","Complete kitchen facilities 4=For exclusive use of this household 5=Also for use by another household 9=Not applicable (code 1, 2, or 3 in item 65a)",1=Fuel oil 2=Utility gas 3=Electricity 4=Other fuel (including COM ED steam),"1=No 2=Yes, a condominium 3=Yes, a cooperative 4=Don't know 8=Not reported",1=Less than 1 month 2=1 to 2 months 3=2 to 3 months 4=3 to 6 months 5=6 to 12 months 6=1 year or more 8=Not reported,1=Owner occupied 2=Renter occupied 3=Never previously occupied 4=Don't know 8=Not reported,"1=No 2=Yes, a condominium 3=Yes, a cooperative 4=Don't know 8=Not reported",1=Available for rent 2=Available for sale only 3=Not available for rent or sale,"01=Rented, not yet occupied 02=Sold, not yet occupied 03=Unit or building is undergoing renovation 04=Unit or building is awaiting renovation 05=Being converted to nonresidential purposes 06=There is a legal dispute involving the unit 07=Being converted or awaiting conversion to condominium or cooperative 08=Held for occasional use, seasonal, or recreational use 09=The owner cannot rent or sell at this time due to personal problems (e.g. age or illness) 10=Being held pending sale of building 11=Being held for planned demolition 12=Held for other reasons 98=Not reported 99=Not applicable (available for rent or available for sale only)","00001=(Dollar amount) 05000=$5,000 (topcode amount) 11797=Mean amount above topcode 99999=Not applicable (available for sale only or not available for rent or sale)",1=Found 2=Not found,07=Mitchell Lama State/Coop 08=Mitchell Lama City/Coop 12=Public Housing 13=In Rem 14=421-A 15=J-51 16=Mitchell Lama State/Rental 17=Mitchell Lama City/Rental 19=Article 4/5 20=HUD regulated 21=Loft Board 23=Municipal Loan Program 99=Not applicable,,03=Vacant for sale-conventional 04=Not available vacant 05=Public housing 07=Vacant for sale-private coop 17=Vacant for sale-condo 20=Article 4 or 5 building 21=HUD regulated 22=Loft Board regulated building 23=Municipal Loan Program 30=Stabilized pre 1947 31=Stabilized post 1947 80=Other rental 85=Mitchell Lama rental 86=Mitchell Lama cooperative 95=In Rem,01=Old law tenement (built pre 1901) 02=New law tenement (built 1901-1929) 03=Multiple built after 1929 (including public housing) 04=Apartment hotel (built before 1929) 05=One or two family converted to apartments 06=Commercial building altered to apartments 07=Tenement building used for single-room occupancy 08=One or two family converted to rooming house 09=Miscellaneous Class B Structure 10=Not reported 11 =Not found 12=Data not available 13=One or two-family homes,05=For sale 06=Public housing 07=For rent (old construction) 08=For rent (new construction) 10=For rent (IN REM) 11=Not available,,01=2000 or later 02=1990 to 1999 03=1980 to 1989 04=1974 to 1979 05=1960 to 1973 06=1947 to 1959 07=1930 to 1946 08=1920 to 1929 09=1901 to 1919 10=1900 and earlier,Complete plumbing facilities in unit 1=For exclusive use 2=Not for exclusive use No complete facilities in unit 4=Some facilities in unit 5=Lacking facilities in unit,Complete kitchen facilities in unit 1=For exclusive use 2=Not for exclusive use No complete facilities in unit 4=Some facilities in unit 5=Facilities in building 6=No facilities in building,"0000=Not computed (asking rent > $5,000) 0001=(Dollar amount) 5000=$5,000 (Highest dollar amount) 9999=Not applicable (available for sale only or not available for rent or sale)",,1=Not dilapidated 2=Dilapidated 8=Condition not reported,01 18,000001-999999=Sequence number,Final Housing Unit Weight,2=Allocated (default values) 1=Allocated 0=Not allocated,1=Allocated 0=Not allocated,2=Allocated (default values) 1=Allocated 0=Not allocated,2=Allocated (default values) 1=Allocated 0=Not allocated,1=Allocated 0=Not allocated,1=Allocated 0=Not allocated
,3,1,199199,99919,919999,999919,3,1,2,4,2,1,2,05,2,02,03,2,9,2,7,06,0,3,0,4,1,4,2,2,1,3,06,99999,2,99,  ,04,01,11, ,09,1,1,9999, ,1,01,358161,013531660,0,0,0,0,0,0
,3,1,999919,99919,919999,999919,3,1,2,4,2,1,2,05,2,02,04,2,9,2,6,05,0,3,0,4,1,1,4,2,1,1,99,01600,2,99,  ,80,01,07, ,09,1,1,0266, ,1,01,749242,019281365,0,0,0,0,0,0
,3,1,999919,99919,999991,999991,8,2,2,4,3,4,2,05,2,02,02,2,9,1,4,03,0,3,0,4,2,1,6,4,1,1,99,01300,2,99,  ,80,03,07, ,01,1,1,0325, ,8,01,232318,023498963,0,0,0,0,0,0
,3,1,999919,99919,999991,999991,2,2,2,4,3,4,3,08,1,02,04,2,9,2,5,04,0,3,0,4,2,1,4,4,1,1,99,01600,2,99,  ,80,03,07, ,01,1,1,0320, ,1,01,706712,018187041,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,2,2,1,2,11,1,05,04,1,2,2,3,02,0,3,0,4,1,1,6,2,1,3,04,99999,2,99,  ,04,02,11, ,08,1,1,9999, ,1,01,039171,018187041,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,2,2,1,2,11,2,05,04,1,2,2,3,02,0,3,0,4,1,1,6,2,1,3,04,99999,2,99,  ,04,02,11, ,08,1,1,9999, ,1,01,708878,018187041,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,2,2,11,2,05,07,1,2,2,5,04,0,3,0,4,2,1,6,2,1,1,99,01638,2,15,  ,30,02,07, ,07,1,1,0327, ,1,01,630016,017327374,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,1,2,11,2,04,05,2,9,2,4,03,0,3,0,4,1,3,3,2,3,3,04,99999,2,15,  ,04,02,11, ,09,1,1,9999, ,1,01,255635,018935812,0,0,0,0,0,0
,3,1,999919,99919,919999,911999,2,2,1,4,1,2,2,11,2,03,05,2,9,2,5,04,0,3,0,4,1,1,6,2,1,3,04,99999,2,12,  ,04,03,11, ,05,1,1,9999, ,1,01,224415,018187041,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,5,2,05,1,02,98,2,9,2,3,03,0,3,0,4,1,1,1,2,1,3,03,99999,2,99,  ,04,12,11, ,09,1,1,9999, ,1,01,451549,018935812,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,1,2,11,2,05,07,1,2,2,3,02,0,3,0,4,2,1,2,2,1,1,99,01500,2,20,  ,21,01,07, ,07,1,1,0500, ,1,01,049353,019544259,0,0,0,0,0,1
,3,1,999919,99919,991999,999919,2,2,1,1,1,1,2,13,2,05,07,1,1,1,3,02,0,3,0,4,2,1,1,2,1,3,04,99999,2,20,  ,04,03,11, ,05,1,1,9999, ,1,01,490130,017327374,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,3,8,2,4,1,1,2,12,2,04,05,2,9,2,3,02,0,3,0,4,1,1,6,2,1,3,03,99999,1,99,  ,04,01,11, ,07,1,1,9999, ,1,01,420019,018187041,2,1,0,0,0,0
,3,1,999919,99919,991999,999919,3,2,2,4,1,2,2,11,2,04,06,2,9,2,3,02,0,3,0,4,1,1,6,2,1,3,04,99999,1,99,  ,04,01,11, ,07,1,1,9999, ,1,01,757922,018187041,0,0,0,0,0,0
,3,1,199999,99919,919999,999919,2,2,1,1,1,1,2,12,2,06,07,1,1,2,4,03,0,3,0,4,1,1,6,2,1,3,04,99999,2,17,  ,04,03,11, ,04,1,1,9999, ,1,01,405097,024278709,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,2,2,12,2,05,02,1,1,1,4,03,0,3,0,4,2,1,3,2,1,1,99,01500,1,99,  ,30,02,07, ,08,1,1,0375, ,1,01,414180,017327374,0,0,0,0,0,0
,3,1,999919,99919,919999,999919,2,2,2,4,3,5,2,11,2,04,04,2,9,2,3,02,0,3,0,4,1,1,2,1,1,1,99,01000,1,99,  ,30,02,07, ,07,1,1,0333, ,1,02,368502,019974612,0,0,0,0,0,0
,3,1,999919,99919,919999,999919,2,2,2,4,1,1,2,11,2,04,05,2,9,2,4,03,0,3,0,4,1,1,3,2,1,3,03,99999,1,99,  ,04,02,11, ,07,1,1,9999, ,1,02,848057,014862625,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,4,2,1,2,05,1,02,04,2,9,2,5,04,0,3,0,4,1,1,2,2,1,1,99,01400,2,99,  ,80,03,07, ,01,1,1,0280, ,1,02,066484,021695080,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,2,2,1,2,10,2,03,05,2,9,2,5,04,0,3,0,4,1,1,3,2,1,1,99,01500,1,99,  ,30,02,07, ,07,1,1,0300, ,1,02,417466,018187041,0,0,0,0,0,0
,3,1,999919,99919,919999,999919,2,2,2,2,2,1,2,10,2,03,03,2,9,2,4,03,0,3,0,4,1,1,2,2,1,1,99,01400,1,99,  ,30,02,07, ,07,1,1,0350, ,1,02,439392,021604335,0,0,0,0,0,0
,3,1,888888,99919,991999,999919,2,2,2,2,2,1,2,05,2,02,04,2,9,2,3,02,0,3,0,4,2,1,3,2,1,1,99,00900,2,99,  ,80,12,07, ,08,1,1,0300, ,1,02,951530,022559005,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,2,2,1,2,11,2,04,04,2,9,2,4,03,0,3,0,4,1,1,2,2,1,3,04,99999,1,99,  ,04,02,11, ,09,1,1,9999, ,1,02,044395,016155228,0,0,0,0,0,0
,3,1,999991,99919,999991,999991,8,1,2,4,2,3,2,03,3,01,02,2,9,2,6,04,0,3,0,4,2,1,3,2,1,2,99,99999,2,99,  ,03,13,05, ,01,1,1,9999, ,8,02,907099,019974612,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,2,2,12,2,05,06,1,1,1,3,02,0,3,0,4,2,1,2,2,1,1,99,00300,2,20,  ,21,03,07, ,02,1,1,0100, ,1,02,110241,021604335,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,2,2,1,2,11,2,05,05,1,2,2,3,02,0,3,0,4,1,1,5,2,1,1,99,00900,1,99,  ,30,03,07, ,07,1,1,0300, ,1,02,535580,018187041,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,4,3,4,2,05,2,02,04,2,9,2,5,04,0,3,0,4,2,1,3,2,1,3,12,99999,2,14,  ,04,03,11, ,01,1,1,9999, ,1,02,439105,021695080,0,0,0,0,0,0
